version type size len rows randomlen prefix slice run time
master random-first 100000000 10000 10000 1 0 1 1 2.466
master random-first 100000000 10000 10000 1 0 1 2 2.450
master random-first 100000000 10000 10000 1 0 1 3 2.421
master random-first 100000000 10000 10000 1 0 1 4 2.451
master random-first 100000000 10000 10000 1 0 1 5 2.432
master random-first 100000000 10000 10000 1 0 1 6 2.430
master random-first 100000000 10000 10000 1 0 1 7 2.364
master random-first 100000000 10000 10000 1 0 1 8 2.487
master random-first 100000000 10000 10000 1 0 1 9 2.465
master random-first 100000000 10000 10000 1 0 1 10 2.300
master random-first 100000000 10000 10000 1 0 10 1 4.014
master random-first 100000000 10000 10000 1 0 10 2 4.010
master random-first 100000000 10000 10000 1 0 10 3 4.027
master random-first 100000000 10000 10000 1 0 10 4 4.021
master random-first 100000000 10000 10000 1 0 10 5 4.031
master random-first 100000000 10000 10000 1 0 10 6 4.021
master random-first 100000000 10000 10000 1 0 10 7 4.026
master random-first 100000000 10000 10000 1 0 10 8 3.989
master random-first 100000000 10000 10000 1 0 10 9 4.024
master random-first 100000000 10000 10000 1 0 10 10 4.020
master random-first 100000000 10000 10000 1 0 1000 1 192.665
master random-first 100000000 10000 10000 1 0 1000 2 192.632
master random-first 100000000 10000 10000 1 0 1000 3 192.765
master random-first 100000000 10000 10000 1 0 1000 4 192.675
master random-first 100000000 10000 10000 1 0 1000 5 192.679
master random-first 100000000 10000 10000 1 0 1000 6 192.662
master random-first 100000000 10000 10000 1 0 1000 7 192.675
master random-first 100000000 10000 10000 1 0 1000 8 192.700
master random-first 100000000 10000 10000 1 0 1000 9 192.675
master random-first 100000000 10000 10000 1 0 1000 10 192.701
master random-first 100000000 10000 10000 1 10 1 1 3.992
master random-first 100000000 10000 10000 1 10 1 2 3.998
master random-first 100000000 10000 10000 1 10 1 3 3.980
master random-first 100000000 10000 10000 1 10 1 4 3.982
master random-first 100000000 10000 10000 1 10 1 5 3.992
master random-first 100000000 10000 10000 1 10 1 6 3.947
master random-first 100000000 10000 10000 1 10 1 7 3.989
master random-first 100000000 10000 10000 1 10 1 8 4.013
master random-first 100000000 10000 10000 1 10 1 9 3.987
master random-first 100000000 10000 10000 1 10 1 10 3.982
master random-first 100000000 10000 10000 1 10 10 1 5.718
master random-first 100000000 10000 10000 1 10 10 2 5.722
master random-first 100000000 10000 10000 1 10 10 3 5.720
master random-first 100000000 10000 10000 1 10 10 4 5.681
master random-first 100000000 10000 10000 1 10 10 5 5.687
master random-first 100000000 10000 10000 1 10 10 6 5.701
master random-first 100000000 10000 10000 1 10 10 7 5.726
master random-first 100000000 10000 10000 1 10 10 8 5.734
master random-first 100000000 10000 10000 1 10 10 9 5.711
master random-first 100000000 10000 10000 1 10 10 10 5.718
master random-first 100000000 10000 10000 1 10 1000 1 194.367
master random-first 100000000 10000 10000 1 10 1000 2 194.348
master random-first 100000000 10000 10000 1 10 1000 3 194.325
master random-first 100000000 10000 10000 1 10 1000 4 194.361
master random-first 100000000 10000 10000 1 10 1000 5 194.347
master random-first 100000000 10000 10000 1 10 1000 6 194.351
master random-first 100000000 10000 10000 1 10 1000 7 194.355
master random-first 100000000 10000 10000 1 10 1000 8 194.355
master random-first 100000000 10000 10000 1 10 1000 9 194.311
master random-first 100000000 10000 10000 1 10 1000 10 194.361
master random-first 100000000 10000 10000 1 1000 1 1 170.971
master random-first 100000000 10000 10000 1 1000 1 2 170.951
master random-first 100000000 10000 10000 1 1000 1 3 170.922
master random-first 100000000 10000 10000 1 1000 1 4 170.923
master random-first 100000000 10000 10000 1 1000 1 5 170.897
master random-first 100000000 10000 10000 1 1000 1 6 170.967
master random-first 100000000 10000 10000 1 1000 1 7 170.954
master random-first 100000000 10000 10000 1 1000 1 8 170.948
master random-first 100000000 10000 10000 1 1000 1 9 170.954
master random-first 100000000 10000 10000 1 1000 1 10 171.094
master random-first 100000000 10000 10000 1 1000 10 1 172.640
master random-first 100000000 10000 10000 1 1000 10 2 172.616
master random-first 100000000 10000 10000 1 1000 10 3 172.647
