version type size len rows randomlen prefix slice run time
master random-first 100000000 10000 10000 1 0 1 1 7.053
master random-first 100000000 10000 10000 1 0 1 2 6.016
master random-first 100000000 10000 10000 1 0 1 3 6.049
master random-first 100000000 10000 10000 1 0 1 4 5.979
master random-first 100000000 10000 10000 1 0 1 5 5.992
master random-first 100000000 10000 10000 1 0 1 6 5.886
master random-first 100000000 10000 10000 1 0 1 7 5.911
master random-first 100000000 10000 10000 1 0 1 8 5.963
master random-first 100000000 10000 10000 1 0 1 9 6.051
master random-first 100000000 10000 10000 1 0 1 10 6.111
master random-first 100000000 10000 10000 1 0 10 1 11.522
master random-first 100000000 10000 10000 1 0 10 2 11.477
master random-first 100000000 10000 10000 1 0 10 3 11.585
master random-first 100000000 10000 10000 1 0 10 4 11.477
master random-first 100000000 10000 10000 1 0 10 5 11.493
master random-first 100000000 10000 10000 1 0 10 6 11.516
master random-first 100000000 10000 10000 1 0 10 7 11.576
master random-first 100000000 10000 10000 1 0 10 8 11.523
master random-first 100000000 10000 10000 1 0 10 9 11.727
master random-first 100000000 10000 10000 1 0 10 10 11.687
master random-first 100000000 10000 10000 1 0 1000 1 518.873
master random-first 100000000 10000 10000 1 0 1000 2 521.567
master random-first 100000000 10000 10000 1 0 1000 3 518.641
master random-first 100000000 10000 10000 1 0 1000 4 517.295
master random-first 100000000 10000 10000 1 0 1000 5 517.242
master random-first 100000000 10000 10000 1 0 1000 6 518.422
master random-first 100000000 10000 10000 1 0 1000 7 516.302
master random-first 100000000 10000 10000 1 0 1000 8 517.436
master random-first 100000000 10000 10000 1 0 1000 9 518.761
master random-first 100000000 10000 10000 1 0 1000 10 516.405
master random-first 100000000 10000 10000 1 10 1 1 11.328
master random-first 100000000 10000 10000 1 10 1 2 11.428
master random-first 100000000 10000 10000 1 10 1 3 11.355
master random-first 100000000 10000 10000 1 10 1 4 11.422
master random-first 100000000 10000 10000 1 10 1 5 11.460
master random-first 100000000 10000 10000 1 10 1 6 11.421
master random-first 100000000 10000 10000 1 10 1 7 11.455
master random-first 100000000 10000 10000 1 10 1 8 11.468
master random-first 100000000 10000 10000 1 10 1 9 11.312
master random-first 100000000 10000 10000 1 10 1 10 11.308
master random-first 100000000 10000 10000 1 10 10 1 16.398
master random-first 100000000 10000 10000 1 10 10 2 16.500
master random-first 100000000 10000 10000 1 10 10 3 16.396
master random-first 100000000 10000 10000 1 10 10 4 16.546
master random-first 100000000 10000 10000 1 10 10 5 16.453
master random-first 100000000 10000 10000 1 10 10 6 16.428
master random-first 100000000 10000 10000 1 10 10 7 16.351
master random-first 100000000 10000 10000 1 10 10 8 16.443
master random-first 100000000 10000 10000 1 10 10 9 16.420
master random-first 100000000 10000 10000 1 10 10 10 16.413
master random-first 100000000 10000 10000 1 10 1000 1 521.318
master random-first 100000000 10000 10000 1 10 1000 2 521.385
master random-first 100000000 10000 10000 1 10 1000 3 521.754
master random-first 100000000 10000 10000 1 10 1000 4 520.451
master random-first 100000000 10000 10000 1 10 1000 5 522.490
master random-first 100000000 10000 10000 1 10 1000 6 520.219
master random-first 100000000 10000 10000 1 10 1000 7 521.564
master random-first 100000000 10000 10000 1 10 1000 8 519.795
master random-first 100000000 10000 10000 1 10 1000 9 519.944
master random-first 100000000 10000 10000 1 10 1000 10 520.509
master random-first 100000000 10000 10000 1 1000 1 1 445.878
master random-first 100000000 10000 10000 1 1000 1 2 445.780
master random-first 100000000 10000 10000 1 1000 1 3 445.566
master random-first 100000000 10000 10000 1 1000 1 4 446.845
master random-first 100000000 10000 10000 1 1000 1 5 447.214
master random-first 100000000 10000 10000 1 1000 1 6 446.763
master random-first 100000000 10000 10000 1 1000 1 7 446.307
master random-first 100000000 10000 10000 1 1000 1 8 447.539
master random-first 100000000 10000 10000 1 1000 1 9 446.417
master random-first 100000000 10000 10000 1 1000 1 10 445.460
master random-first 100000000 10000 10000 1 1000 10 1 451.170
master random-first 100000000 10000 10000 1 1000 10 2 450.039
master random-first 100000000 10000 10000 1 1000 10 3 449.526
master random-first 100000000 10000 10000 1 1000 10 4 450.465
master random-first 100000000 10000 10000 1 1000 10 5 453.045
master random-first 100000000 10000 10000 1 1000 10 6 452.962
master random-first 100000000 10000 10000 1 1000 10 7 450.193
master random-first 100000000 10000 10000 1 1000 10 8 448.997
master random-first 100000000 10000 10000 1 1000 10 9 450.785
master random-first 100000000 10000 10000 1 1000 10 10 449.936
master random-first 100000000 10000 10000 1 1000 1000 1 956.557
master random-first 100000000 10000 10000 1 1000 1000 2 955.780
master random-first 100000000 10000 10000 1 1000 1000 3 955.279
master random-first 100000000 10000 10000 1 1000 1000 4 959.292
master random-first 100000000 10000 10000 1 1000 1000 5 956.792
master random-first 100000000 10000 10000 1 1000 1000 6 954.514
